"S.No.","Local Body Code","Local Body Version","Local Body Name (In English)","Local Body Name (In Local)","Localbody Type Code","Local Body Type Name","Parent Localbody Code"
"87.0","259421","1","Karan (Karav)","Karan (Karav)","11","Village Council","259393"
"88.0","259478","1","Kasintung","Kasintung","11","Village Council","259444"
"89.0","259468","1","Katahu","Katahu","11","Village Council","259444"
"90.0","259335","1","Katahuwa","Katahuwa","11","Village Council","259326"
"91.0","259353","1","Kavatinpeu","Karahinpoh","11","Village Council","259326"
"92.0","259314","1","Kimois","Kimois","11","Village Council","259309"
"93.0","259325","1","Kinmai","Kinmai","11","Village Council","259309"
"94.0","259320","1","Kinyuka","Kinyuka","11","Village Council","259309"
"95.0","259452","1","Kiyang","Kiyang","11","Village Council","259444"
"96.0","259406","1","Knot","Knot","11","Village Council","259393"
"97.0","259479","1","Koe","Koe","11","Village Council","259444"
"98.0","259484","1","Kokeon","Kokeon","11","Village Council","259444"
"99.0","259476","1","Kopen Heat","Kopen Heat","11","Village Council","259444"
"100.0","259417","1","Kuikua","Kuikua","11","Village Council","259393"
"101.0","259442","1","Kuitasuk","Kuitasuk","11","Village Council","259438"
"102.0","259341","1","Kulatapangia","Kulatapangia","11","Village Council","259326"
"103.0","259336","1","Kumikia","Kumikia","11","Village Council","259326"
"104.0","259356","1","Kupinga","Kupinga","11","Village Council","259326"
"105.0","259506","1","Lanaya","Lanaya","11","Village Council","259444"
"106.0","259370","1","Lanuanga","Lanuanga","11","Village Council","259362"
"107.0","259364","1","Lapat","Lapat","11","Village Council","259362"
"108.0","259499","1","Lawful","Lawful","11","Village Council","259444"
"109.0","259492","2","Laxmi Nagar","Laxmi Nagar","11","Village Council","259444"
"110.0","259430","1","Luxi","Luxi","11","Village Council","259426"
"111.0","259447","1","Makhahu (Makachua)","Makhahu (Makachua)","11","Village Council","259444"
"112.0","259317","1","Malacca","Malacca","11","Village Council","259309"
"113.0","259373","1","Malacca","Malacca","11","Village Council","259362"
"114.0","259419","1","Manjula","Manjula","11","Village Council","259393"
"115.0","259344","1","Mapayala","Mapayala","11","Village Council","259326"
"116.0","259399","1","Maru","Maru","11","Village Council","259393"
"117.0","259404","1","Masala Tapu","Masala Tapu","11","Village Council","259393"
