"S.No.","District Code","District Name","Sub-District Code","Sub-District Name","Village Code","Village Version","Village Name","Village Name","Village Category","Village Status","Census 2001 Code","Census 2011 Code"
"56","603","Nicobars","5918","Great Nicobar","645143","1","Makhahu/Makachua","","Rural","Inhabitant","00048400","645143"
"57","603","Nicobars","5918","Great Nicobar","645141","1","Minlana/Minlan","","Rural","Un-Inhabitant","00048200","645141"
"58","603","Nicobars","5918","Great Nicobar","645206","1","Navy Dera","","Rural","Un-Inhabitant","00054500","645206"
"59","603","Nicobars","5918","Great Nicobar","645203","1","Not Yet Named","","Rural","Un-Inhabitant","00054300","645203"
"60","603","Nicobars","5918","Great Nicobar","645202","1","Not Yet Named","","Rural","Un-Inhabitant","00054200","645202"
"61","603","Nicobars","5918","Great Nicobar","645197","1","Not Yet Named (At 27.9 Km)-A","","Rural","Un-Inhabitant","00053700","645197"
"62","603","Nicobars","5918","Great Nicobar","645156","1","Olinchi/Bombay","","Rural","Un-Inhabitant","00049700","645156"
"63","603","Nicobars","5918","Great Nicobar","645181","1","Patatiya","","Rural","Un-Inhabitant","00052100","645181"
"64","603","Nicobars","5918","Great Nicobar","645209","1","Patisang","","Rural","Inhabitant","","645209"
"65","603","Nicobars","5918","Great Nicobar","645155","1","Pattia (Pulopattia)","","Rural","Inhabitant","00049600","645155"
"66","603","Nicobars","5918","Great Nicobar","645152","1","Pea","","Rural","Un-Inhabitant","00049300","645152"
"67","603","Nicobars","5918","Great Nicobar","645161","1","Pehayo","","Rural","Un-Inhabitant","00050200","645161"
"68","603","Nicobars","5918","Great Nicobar","645211","1","Pitayo","","Rural","Un-Inhabitant","","645211"
"69","603","Nicobars","5918","Great Nicobar","645150","1","Pulloullo/Puloulo","","Rural","Inhabitant","00049100","645150"
"70","603","Nicobars","5918","Great Nicobar","645187","1","Pulobaha","","Rural","Un-Inhabitant","00052700","645187"
"71","603","Nicobars","5918","Great Nicobar","645147","1","Pulobaha/Pathathifen","","Rural","Un-Inhabitant","00048800","645147"
"72","603","Nicobars","5918","Great Nicobar","645170","1","Pulobed","","Rural","Un-Inhabitant","00051000","645170"
"73","603","Nicobars","5918","Great Nicobar","645164","1","Pulobed/Lababu","","Rural","Un-Inhabitant","00050500","645164"
"74","603","Nicobars","5918","Great Nicobar","645180","1","Pulobhabi","","Rural","Un-Inhabitant","00052000","645180"
"75","603","Nicobars","5918","Great Nicobar","645153","1","Pulobha/Pulobahan","","Rural","Inhabitant","00049400","645153"
"76","603","Nicobars","5918","Great Nicobar","645171","1","Pulokunji","","Rural","Un-Inhabitant","00051100","645171"
"77","603","Nicobars","5918","Great Nicobar","645140","1","Pulomilo","","Rural","Inhabitant","00048100","645140"
"78","603","Nicobars","5918","Great Nicobar","645158","1","Pulopanja","","Rural","Inhabitant","00049900","645158"
"79","603","Nicobars","5918","Great Nicobar","645185","1","Pulopucca","","Rural","Un-Inhabitant","00052500","645185"
"80","603","Nicobars","5918","Great Nicobar","645146","1","Pulotalia/Pulotohio","","Rural","Un-Inhabitant","00048700","645146"
"81","603","Nicobars","5918","Great Nicobar","645201","1","Ranganathan Bay","","Rural","Un-Inhabitant","00054100","645201"
"82","603","Nicobars","5918","Great Nicobar","645173","1","Renguang","","Rural","Un-Inhabitant","00051300","645173"
"83","603","Nicobars","5918","Great Nicobar","645191","1","Sastri Nagar","","Rural","Inhabitant","00053100","645191"
"84","603","Nicobars","5918","Great Nicobar","645198","1","Shompen Hut","","Rural","Un-Inhabitant","00053800","645198"
"85","603","Nicobars","5918","Great Nicobar","645172","1","Shompen Village-A","","Rural","Un-Inhabitant","00051200","645172"
"86","603","Nicobars","5918","Great Nicobar","645176","1","Shompen Village-B","","Rural","Un-Inhabitant","00051600","645176"
"87","603","Nicobars","5918","Great Nicobar","645208","1","Trinket Bay","","Rural","Un-Inhabitant","00054700","645208"
"88","603","Nicobars","5918","Great Nicobar","645194","1","Vijoy Nagar","","Rural","Inhabitant","00053400","645194"
"89","603","Nicobars","5917","Nancowry","645030","1","Alhiat","","Rural","Inhabitant","00037500","645030"
"90","603","Nicobars","5917","Nancowry","645053","1","Alhitoth/Alhiloth*","","Rural","Un-Inhabitant","00039800","645053"
"91","603","Nicobars","5917","Nancowry","645094","1","Al-Hit-Touch/Balu Basti","","Rural","Inhabitant","00043500","645094"
"92","603","Nicobars","5917","Nancowry","645085","1","Alipa/Alips*","","Rural","Inhabitant","00042600","645085"
"93","603","Nicobars","5917","Nancowry","645052","1","Alkaipoh/Alkripoh*","","Rural","Un-Inhabitant","00039700","645052"
"94","603","Nicobars","5917","Nancowry","645115","1","Alointung*","","Rural","Un-Inhabitant","00045600","645115"
"95","603","Nicobars","5917","Nancowry","645035","1","Aloora*","","Rural","Un-Inhabitant","00038000","645035"
"96","603","Nicobars","5917","Nancowry","645034","1","Aloorang","","Rural","Inhabitant","00037900","645034"
"97","603","Nicobars","5917","Nancowry","645117","1","Alpintu/Alpintung*","","Rural","Inhabitant","00045800","645117"
"98","603","Nicobars","5917","Nancowry","645101","1","Alreak*","","Rural","Un-Inhabitant","00044200","645101"
"99","603","Nicobars","5917","Nancowry","645076","1","Alsama*","","Rural","Un-Inhabitant","00042100","645076"
"100","603","Nicobars","5917","Nancowry","645074","1","Altaful*","","Rural","Un-Inhabitant","00041900","645074"
"101","603","Nicobars","5917","Nancowry","645093","1","Altheak","","Rural","Inhabitant","00043400","645093"
"102","603","Nicobars","5917","Nancowry","645121","1","Alukian/Alhukheck","","Rural","Inhabitant","00046200","645121"
"103","603","Nicobars","5917","Nancowry","645066","1","Atkuna/Alkun*","","Rural","Un-Inhabitant","00041100","645066"
"104","603","Nicobars","5917","Nancowry","645116","1","Banderkari/Pulu","","Rural","Inhabitant","00045700","645116"
"105","603","Nicobars","5917","Nancowry","645044","1","Bengali","","Rural","Inhabitant","00038900","645044"
"106","603","Nicobars","5917","Nancowry","645129","1","Berainak/Badnak","","Rural","Inhabitant","00047000","645129"
"107","603","Nicobars","5917","Nancowry","645045","1","Bompoka Island*","","Rural","Inhabitant","00039000","645045"
"108","603","Nicobars","5917","Nancowry","645109","1","Bumpal*","","Rural","Un-Inhabitant","00045000","645109"
"109","603","Nicobars","5917","Nancowry","645096","1","Champin","","Rural","Inhabitant","00043700","645096"
"110","603","Nicobars","5917","Nancowry","645113","1","Chanel/Chanol*","","Rural","Inhabitant","00045400","645113"
"111","603","Nicobars","5917","Nancowry","645119","1","Changua/Changup","","Rural","Inhabitant","00046000","645119"
"112","603","Nicobars","5917","Nancowry","645065","1","Chengtamilan*","","Rural","Un-Inhabitant","00041000","645065"
"113","603","Nicobars","5917","Nancowry","645050","1","Chonghipoh*","","Rural","Un-Inhabitant","00039500","645050"
"114","603","Nicobars","5917","Nancowry","645029","1","Chongkamong","","Rural","Inhabitant","00037400","645029"
"115","603","Nicobars","5917","Nancowry","645059","1","Chonsiyala*","","Rural","Un-Inhabitant","00040400","645059"
"116","603","Nicobars","5917","Nancowry","645128","1","Chota Inak","","Rural","Inhabitant","00046900","645128"
"117","603","Nicobars","5917","Nancowry","645039","1","Chukmachi","","Rural","Inhabitant","00038400","645039"
"118","603","Nicobars","5917","Nancowry","645111","1","Daring","","Rural","Inhabitant","00045200","645111"
"119","603","Nicobars","5917","Nancowry","645036","1","Enam","","Rural","Inhabitant","00038100","645036"
"120","603","Nicobars","5917","Nancowry","645083","1","E-Wall","","Rural","Inhabitant","","645083"
"121","603","Nicobars","5917","Nancowry","645069","1","Hakonhala*","","Rural","Un-Inhabitant","00041400","645069"
"122","603","Nicobars","5917","Nancowry","645073","1","Halnatai/Hoinatai*","","Rural","Un-Inhabitant","00041800","645073"
"123","603","Nicobars","5917","Nancowry","645087","1","Hindra*","","Rural","Un-Inhabitant","00042800","645087"
"124","603","Nicobars","5917","Nancowry","645097","1","Hinnunga*","","Rural","Un-Inhabitant","00043800","645097"
"125","603","Nicobars","5917","Nancowry","645102","1","Hintona*","","Rural","Un-Inhabitant","00044300","645102"
"126","603","Nicobars","5917","Nancowry","645048","1","Hitlat*","","Rural","Un-Inhabitant","00039300","645048"
"127","603","Nicobars","5917","Nancowry","645136","3","Hockook*","","Rural","Un-Inhabitant","00047700","645136"
"128","603","Nicobars","5917","Nancowry","645063","1","Hoipoh*","","Rural","Un-Inhabitant","00040800","645063"
"129","603","Nicobars","5917","Nancowry","645060","1","Hontona*","","Rural","Un-Inhabitant","00040500","645060"
"130","603","Nicobars","5917","Nancowry","645057","1","Hutnyak*","","Rural","Un-Inhabitant","00040200","645057"
"131","603","Nicobars","5917","Nancowry","645123","1","Inmae*","","Rural","Un-Inhabitant","00046400","645123"
"132","603","Nicobars","5917","Nancowry","645099","1","Inroak/Chinlak*","","Rural","Un-Inhabitant","00044000","645099"
"133","603","Nicobars","5917","Nancowry","645100","1","Itoi*(Hitui)","","Rural","Inhabitant","00044100","645100"
"134","603","Nicobars","5917","Nancowry","645047","1","Jansin*","","Rural","Un-Inhabitant","00039200","645047"
"135","603","Nicobars","5917","Nancowry","645082","3","Japan Tikri","","Rural","Inhabitant","","645082"
"136","603","Nicobars","5917","Nancowry","645046","1","Jhoola*","","Rural","Inhabitant","00039100","645046"
"137","603","Nicobars","5917","Nancowry","645131","1","Kakana","","Rural","Inhabitant","00047200","645131"
"138","603","Nicobars","5917","Nancowry","645038","1","Kalara*","","Rural","Un-Inhabitant","00038300","645038"
"139","603","Nicobars","5917","Nancowry","645043","3","Kalasi","","Rural","Inhabitant","00038800","645043"
"140","603","Nicobars","5917","Nancowry","645068","1","Kalminikum/Kalmenkam*","","Rural","Un-Inhabitant","00041300","645068"
"141","603","Nicobars","5917","Nancowry","645127","1","Kamorta/Kalatapu(Incl.Sanuh)","","Rural","Inhabitant","00046800","645127"
"142","603","Nicobars","5917","Nancowry","645056","1","Kamriak*","","Rural","Inhabitant","00040100","645056"
