"Local Body Code","Local Body Version","Local Body Name (In English)","Local Body Name (In Local)","Local Body Type Code","Local Body Type Name","_Local Body Code","_Local Body Version","_Local Body Name (In English)","_Local Body Name (In Local)","_Local Body Type Code","_Local Body Type Name"
"259326","1","Katchal","Katchal","19","Tribal Council","259333","1","Alkaipoh","Alkripoh","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259354","1","Alsama","Alsama","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259352","1","Altaful","Altaful","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259345","1","Atkuna","Alkun","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259360","1","Chengtamilan","Chengtamilan","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259331","1","Chonghipoh","Chonghipoh","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259359","1","Chonsiyala","Chonsiyala","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259347","1","Hakonhala","Hakonhala","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259351","1","Halnatai(Hoinatai)","Halnatai(Hoinatai)","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259329","1","Hitlat","Hitlat","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259343","1","Hoipoh","Hoipoh","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259340","1","Hontona","Hontona","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259338","1","Hutnyak","Hutnyak","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259328","1","Jansin","Jansin","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259327","1","Jhoola","Jhoola","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259361","1","Kalminikun","Kalmenkam","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259337","1","Kamriak","Kamriak","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259355","1","Kapanga","Kapanga","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259335","1","Katahuwa","Katahuwa","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259353","1","Kavatinpeu","Karahinpoh","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259341","1","Kulatapangia","Kulatapangia","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259336","1","Kumikia","Kumikia","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259356","1","Kupinga","Kupinga","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259344","1","Mapayala","Mapayala","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259330","1","Mavatapis","Maratapia","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259357","1","Mildera","Mildera","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259339","1","Ongulongho","Ongulongho","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259348","1","Reakomlong","Reakomlong","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259332","1","Sanaya","Sanaya","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259349","1","Sonomkuwa","Sonomkuwa","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259346","1","Tani","Tani","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259350","1","Tavinkin","Tavakin","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259342","1","Vyavtapu","Vyavtapu","11","Village Council"
"259326","1","Katchal","Katchal","19","Tribal Council","259358","1","West Bay Katchal (Hindra)","West Bay Katchal (Hindra)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259500","1","1ayouk","1Ayouk","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259493","1","7 Km. Farm","7 Km. Farm","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259504","1","Afra Bay","Afra Bay","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259448","1","Akupa","Akupa","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259470","1","Alexandera (River)","Alexandera (River)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259446","1","Anul","Anula","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259461","1","Bahua","Bahua","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259462","1","Bewai (Kuwak)","Bewai (Kuwak)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259497","1","Chaw Nallah","Chaw Nallah","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259490","1","Chiengen","Chiengen","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259469","1","Dairkurat","Dairkurat","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259485","1","Dakhiyon (Near Kokeon) (Forest Camp)","Dakhiyon (Near Kokeon) (Forest Camp)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259480","1","Danlet","Danlet","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259475","1","Dogmar River","Dogmar River","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259458","1","Elahi/Ilhoya","Elahi/Ilhoya","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259491","1","Galathia River (Forest Camp)","Galathia River (Forest Camp)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259505","1","Goltikry","GolTikry","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259483","1","Hin-Pou-Chi","Hin-Pou-Chi","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259454","1","Hoin (Incl. Ikuia)","Hoin (Incl. Ikuia)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259464","1","Hokesiang","Hokesiang","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259489","1","Indira Point","Indira Point","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259487","1","In-Hig-Oi","In-Hig-oi","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259449","1","Inlock","Infock","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259466","1","Inlock/Pattia","Inlock/Pattia","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259459","1","Inod","Inod","11","Village Council"
