State Code,State Name (In English),District Code,District Name (In English),District Name (Local),District Version,District Census 2001 Code,District Census 2011 Code,Sub District Code,Sub District Name,Sub District Name (Local),Subdistrict Version,Sub District Census 2001 Code,Sub District Census 2011 Code,Development Block Code,Development Block Name (In English),Development Block Name (Local),Development Block Version,Village Code,Village Name (In English),Village Name (Local),Village Category,Village Status,Village Census 2001 Code,Village Census 2011 Code
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645179,Danlet,,Rural,Un-Inhabitant,51900.0,645179
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645174,Dogmar River,,Rural,Un-Inhabitant,51400.0,645174
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645159,Elahi/Ilhoya,,Rural,Un-Inhabitant,50000.0,645159
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645190,Galathia River (Fc),,Rural,Un-Inhabitant,53000.0,645190
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645192,Gandhi Nagar,,Rural,Inhabitant,53200.0,645192
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645205,Gol Tikrey,,Rural,Un-Inhabitant,,645205
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645199,Govinda Nagar,,Rural,Inhabitant,53900.0,645199
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645182,Hin-Pou-Chi,,Rural,Un-Inhabitant,52200.0,645182
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645151,Hoin Incl. Ikuia,,Rural,Un-Inhabitant,49200.0,645151
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645154,Hokesiang,,Rural,Un-Inhabitant,49500.0,645154
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645188,Indira Point,,Rural,Un-Inhabitant,52800.0,645188
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645186,In-Hig-Loi,,Rural,Un-Inhabitant,52600.0,645186
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645145,Inlock/Infock,,Rural,Un-Inhabitant,48600.0,645145
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645157,Inlock/Pattia,,Rural,Un-Inhabitant,49800.0,645157
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645160,Inod,,Rural,Un-Inhabitant,50100.0,645160
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645195,Joginder Nagar,,Rural,Inhabitant,53500.0,645195
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645177,Kasintung,,Rural,Un-Inhabitant,51700.0,645177
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645165,Katahu,,Rural,Un-Inhabitant,50600.0,645165
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645149,Kiyang,,Rural,Un-Inhabitant,49000.0,645149
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645178,Koe,,Rural,Un-Inhabitant,51800.0,645178
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645183,Kokeon,,Rural,Un-Inhabitant,52300.0,645183
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6499,Car Nicobar,,1,645163,Kondul,,Rural,Un-Inhabitant,50400.0,645163
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645175,Kopenheat,,Rural,Un-Inhabitant,51500.0,645175
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645210,Lanaya,,Rural,Un-Inhabitant,,645210
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645207,Lawful,,Rural,Un-Inhabitant,54600.0,645207
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645193,Laxmi Nagar,,Rural,Inhabitant,53300.0,645193
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645143,Makhahu/Makachua,,Rural,Inhabitant,48400.0,645143
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645141,Minlana/Minlan,,Rural,Un-Inhabitant,48200.0,645141
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645206,Navy Dera,,Rural,Un-Inhabitant,54500.0,645206
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645203,Not Yet Named,,Rural,Un-Inhabitant,54300.0,645203
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645202,Not Yet Named,,Rural,Un-Inhabitant,54200.0,645202
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645197,Not Yet Named (At 27.9 Km)-A,,Rural,Un-Inhabitant,53700.0,645197
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645156,Olinchi/Bombay,,Rural,Un-Inhabitant,49700.0,645156
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645181,Patatiya,,Rural,Un-Inhabitant,52100.0,645181
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645209,Patisang,,Rural,Inhabitant,,645209
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645155,Pattia (Pulopattia),,Rural,Inhabitant,49600.0,645155
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645152,Pea,,Rural,Un-Inhabitant,49300.0,645152
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645161,Pehayo,,Rural,Un-Inhabitant,50200.0,645161
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645211,Pitayo,,Rural,Un-Inhabitant,,645211
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645150,Pulloullo/Puloulo,,Rural,Inhabitant,49100.0,645150
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645187,Pulobaha,,Rural,Un-Inhabitant,52700.0,645187
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645147,Pulobaha/Pathathifen,,Rural,Un-Inhabitant,48800.0,645147
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645170,Pulobed,,Rural,Un-Inhabitant,51000.0,645170
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645164,Pulobed/Lababu,,Rural,Un-Inhabitant,50500.0,645164
