"S.No.","District Code","District Name","District Census 2011 Code","District Census 2001 Code","Subdistrict Code","Subdistrict Name","Subdistrict Census 2011 Code","Subdistrict Census 2001 Code","Village Code","Village Name","Village Census 2011 Code","Village Census 2001 Code","Local Body Code","Local Body Name"
"59","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645202","Not Yet Named","645202","00054200","",""
"60","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645203","Not Yet Named","645203","00054300","",""
"61","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645197","Not Yet Named (At 27.9 Km)-A","645197","00053700","",""
"62","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645156","Olinchi/Bombay","645156","00049700","",""
"63","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645181","Patatiya","645181","00052100","",""
"64","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645209","Patisang","645209","","",""
"65","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645155","Pattia (Pulopattia)","645155","00049600","",""
"66","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645152","Pea","645152","00049300","",""
"67","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645161","Pehayo","645161","00050200","",""
"68","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645211","Pitayo","645211","","",""
"69","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645150","Pulloullo/Puloulo","645150","00049100","",""
"70","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645187","Pulobaha","645187","00052700","",""
"71","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645147","Pulobaha/Pathathifen","645147","00048800","",""
"72","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645170","Pulobed","645170","00051000","",""
"73","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645164","Pulobed/Lababu","645164","00050500","",""
"74","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645180","Pulobhabi","645180","00052000","",""
"75","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645153","Pulobha/Pulobahan","645153","00049400","",""
"76","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645171","Pulokunji","645171","00051100","",""
"77","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645140","Pulomilo","645140","00048100","",""
"78","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645158","Pulopanja","645158","00049900","",""
"79","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645185","Pulopucca","645185","00052500","",""
"80","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645146","Pulotalia/Pulotohio","645146","00048700","",""
"81","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645201","Ranganathan Bay","645201","00054100","",""
"82","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645173","Renguang","645173","00051300","",""
"83","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645191","Sastri Nagar","645191","00053100","234531","Laxminagar"
"84","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645198","Shompen Hut","645198","00053800","",""
"85","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645172","Shompen Village-A","645172","00051200","",""
"86","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645176","Shompen Village-B","645176","00051600","",""
"87","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645208","Trinket Bay","645208","00054700","",""
"88","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645194","Vijoy Nagar","645194","00053400","234531","Laxminagar"
"89","603","Nicobars","638","02","5917","Nancowry","05917","0","645030","Alhiat","645030","00037500","",""
"90","603","Nicobars","638","02","5917","Nancowry","05917","0","645053","Alhitoth/Alhiloth*","645053","00039800","",""
"91","603","Nicobars","638","02","5917","Nancowry","05917","0","645094","Al-Hit-Touch/Balu Basti","645094","00043500","",""
"92","603","Nicobars","638","02","5917","Nancowry","05917","0","645085","Alipa/Alips*","645085","00042600","",""
"93","603","Nicobars","638","02","5917","Nancowry","05917","0","645052","Alkaipoh/Alkripoh*","645052","00039700","",""
"94","603","Nicobars","638","02","5917","Nancowry","05917","0","645115","Alointung*","645115","00045600","",""
"95","603","Nicobars","638","02","5917","Nancowry","05917","0","645035","Aloora*","645035","00038000","",""
"96","603","Nicobars","638","02","5917","Nancowry","05917","0","645034","Aloorang","645034","00037900","",""
"97","603","Nicobars","638","02","5917","Nancowry","05917","0","645117","Alpintu/Alpintung*","645117","00045800","",""
"98","603","Nicobars","638","02","5917","Nancowry","05917","0","645101","Alreak*","645101","00044200","",""
"99","603","Nicobars","638","02","5917","Nancowry","05917","0","645076","Alsama*","645076","00042100","",""
"100","603","Nicobars","638","02","5917","Nancowry","05917","0","645074","Altaful*","645074","00041900","",""
"101","603","Nicobars","638","02","5917","Nancowry","05917","0","645093","Altheak","645093","00043400","",""
"102","603","Nicobars","638","02","5917","Nancowry","05917","0","645121","Alukian/Alhukheck","645121","00046200","",""
"103","603","Nicobars","638","02","5917","Nancowry","05917","0","645066","Atkuna/Alkun*","645066","00041100","",""
"104","603","Nicobars","638","02","5917","Nancowry","05917","0","645116","Banderkari/Pulu","645116","00045700","",""
"105","603","Nicobars","638","02","5917","Nancowry","05917","0","645044","Bengali","645044","00038900","",""
"106","603","Nicobars","638","02","5917","Nancowry","05917","0","645129","Berainak/Badnak","645129","00047000","",""
"107","603","Nicobars","638","02","5917","Nancowry","05917","0","645045","Bompoka Island*","645045","00039000","",""
"108","603","Nicobars","638","02","5917","Nancowry","05917","0","645109","Bumpal*","645109","00045000","",""
"109","603","Nicobars","638","02","5917","Nancowry","05917","0","645096","Champin","645096","00043700","",""
"110","603","Nicobars","638","02","5917","Nancowry","05917","0","645113","Chanel/Chanol*","645113","00045400","",""
"111","603","Nicobars","638","02","5917","Nancowry","05917","0","645119","Changua/Changup","645119","00046000","",""
"112","603","Nicobars","638","02","5917","Nancowry","05917","0","645065","Chengtamilan*","645065","00041000","",""
"113","603","Nicobars","638","02","5917","Nancowry","05917","0","645050","Chonghipoh*","645050","00039500","",""
"114","603","Nicobars","638","02","5917","Nancowry","05917","0","645029","Chongkamong","645029","00037400","",""
"115","603","Nicobars","638","02","5917","Nancowry","05917","0","645059","Chonsiyala*","645059","00040400","",""
"116","603","Nicobars","638","02","5917","Nancowry","05917","0","645128","Chota Inak","645128","00046900","",""
"117","603","Nicobars","638","02","5917","Nancowry","05917","0","645039","Chukmachi","645039","00038400","",""
"118","603","Nicobars","638","02","5917","Nancowry","05917","0","645111","Daring","645111","00045200","",""
"119","603","Nicobars","638","02","5917","Nancowry","05917","0","645036","Enam","645036","00038100","",""
"120","603","Nicobars","638","02","5917","Nancowry","05917","0","645083","E-Wall","645083","","",""
"121","603","Nicobars","638","02","5917","Nancowry","05917","0","645069","Hakonhala*","645069","00041400","",""
"122","603","Nicobars","638","02","5917","Nancowry","05917","0","645073","Halnatai/Hoinatai*","645073","00041800","",""
"123","603","Nicobars","638","02","5917","Nancowry","05917","0","645087","Hindra*","645087","00042800","",""
"124","603","Nicobars","638","02","5917","Nancowry","05917","0","645097","Hinnunga*","645097","00043800","",""
"125","603","Nicobars","638","02","5917","Nancowry","05917","0","645102","Hintona*","645102","00044300","",""
"126","603","Nicobars","638","02","5917","Nancowry","05917","0","645048","Hitlat*","645048","00039300","",""
"127","603","Nicobars","638","02","5917","Nancowry","05917","0","645136","Hockook*","645136","00047700","",""
"128","603","Nicobars","638","02","5917","Nancowry","05917","0","645063","Hoipoh*","645063","00040800","",""
"129","603","Nicobars","638","02","5917","Nancowry","05917","0","645060","Hontona*","645060","00040500","",""
"130","603","Nicobars","638","02","5917","Nancowry","05917","0","645057","Hutnyak*","645057","00040200","",""
"131","603","Nicobars","638","02","5917","Nancowry","05917","0","645123","Inmae*","645123","00046400","",""
"132","603","Nicobars","638","02","5917","Nancowry","05917","0","645099","Inroak/Chinlak*","645099","00044000","",""
"133","603","Nicobars","638","02","5917","Nancowry","05917","0","645100","Itoi*(Hitui)","645100","00044100","",""
"134","603","Nicobars","638","02","5917","Nancowry","05917","0","645047","Jansin*","645047","00039200","",""
"135","603","Nicobars","638","02","5917","Nancowry","05917","0","645082","Japan Tikri","645082","","",""
"136","603","Nicobars","638","02","5917","Nancowry","05917","0","645046","Jhoola*","645046","00039100","",""
"137","603","Nicobars","638","02","5917","Nancowry","05917","0","645131","Kakana","645131","00047200","",""
"138","603","Nicobars","638","02","5917","Nancowry","05917","0","645038","Kalara*","645038","00038300","",""
"139","603","Nicobars","638","02","5917","Nancowry","05917","0","645043","Kalasi","645043","00038800","",""
"140","603","Nicobars","638","02","5917","Nancowry","05917","0","645068","Kalminikum/Kalmenkam*","645068","00041300","",""
"141","603","Nicobars","638","02","5917","Nancowry","05917","0","645127","Kamorta/Kalatapu(Incl.Sanuh)","645127","00046800","",""
"142","603","Nicobars","638","02","5917","Nancowry","05917","0","645056","Kamriak*","645056","00040100","",""
"143","603","Nicobars","638","02","5917","Nancowry","05917","0","645042","Kanahinot","645042","00038700","",""
"144","603","Nicobars","638","02","5917","Nancowry","05917","0","645077","Kapanga*","645077","00042200","",""
"145","603","Nicobars","638","02","5917","Nancowry","05917","0","645139","Kapila*","645139","00048000","",""
"146","603","Nicobars","638","02","5917","Nancowry","05917","0","645110","Karan/Karav*","645110","00045100","",""
"147","603","Nicobars","638","02","5917","Nancowry","05917","0","645054","Katahuwa*","645054","00039900","",""
"148","603","Nicobars","638","02","5917","Nancowry","05917","0","645075","Kavatinpeu/Karahinpoh*","645075","00042000","",""
"149","603","Nicobars","638","02","5917","Nancowry","05917","0","645122","Knot","645122","00046300","",""
"150","603","Nicobars","638","02","5917","Nancowry","05917","0","645134","Kuikua*","645134","00047500","",""
